School Type,India/ State/ UTs,Gender,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Upper Primary School,Meghalaya,Male,NA,3301,3581,4317,3994,5072,5072,4316,4316,4316
Upper Primary School,Meghalaya,Female,NA,2239,3026,3090,3413,4335,4335,5091,5091,5091
Upper Primary School,Mizoram,Total,5747,6170,5606,6977,7983,7271,6846,7754,7564,7824
Upper Primary School,Mizoram,Male,NA,4194,3943,4777,5073,4841,4609,5067,5058,5217
Upper Primary School,Mizoram,Female,NA,1976,1663,2200,2910,2430,2237,2687,2506,2607
Upper Primary School,Nagaland,Total,5029,4563,5365,6296,6263,6263,5804,5804,5804,5804
Upper Primary School,Nagaland,Male,NA,3043,3775,3921,3902,3902,3703,3703,3703,3703
Upper Primary School,Nagaland,Female,NA,1520,1590,2375,2361,2361,2101,2101,2101,2101
Upper Primary School,Odisha,Total,41734,48677,49786,31393,34285,32061,41595,44387,54707,53994
Upper Primary School,Odisha,Male,NA,35845,35817,23419,25712,24129,29569,31033,36844,35684
Upper Primary School,Odisha,Female,NA,12832,13969,7974,8573,7932,12026,13354,17863,18310
Upper Primary School,Puducherry,Total,1574,1593,1593,1622,1534,1396,1384,1405,1471,1302
Upper Primary School,Puducherry,Male,NA,727,734,691,624,539,519,479,461,393
Upper Primary School,Puducherry,Female,NA,866,859,931,910,857,865,926,1010,909
Upper Primary School,Punjab,Total,13920,13737,13543,13206,12910,13206,14070,39708,21480,22836
Upper Primary School,Punjab,Male,NA,6403,6639,6336,6175,6263,6672,11158,8264,8716
Upper Primary School,Punjab,Female,NA,7334,6904,6870,6735,6943,7398,28550,13216,14120
Upper Primary School,Rajasthan,Total,120410,157284,154921,160423,191208,196652,199717,211138,219555,219854
Upper Primary School,Rajasthan,Male,NA,113153,112773,115456,134354,136125,138939,143366,148879,150969
Upper Primary School,Rajasthan,Female,NA,44131,42148,44967,56854,60527,60778,67772,70676,68885
Upper Primary School,Sikkim,Total,1701,1661,1140,1172,1177,1820,2043,2229,2229,2229
Upper Primary School,Sikkim,Male,NA,1012,730,755,766,1103,1031,1116,1116,1116
Upper Primary School,Sikkim,Female,NA,649,410,417,411,717,1012,1113,1113,1113
Upper Primary School,Tamil Nadu,Total,59922,56086,60079,56958,92156,64297,68507,67612,26589,65206
Upper Primary School,Tamil Nadu,Male,NA,17071,25935,26217,19371,22059,27259,28547,11121,20819
Upper Primary School,Tamil Nadu,Female,NA,39015,34144,30741,72785,42238,41248,39065,15468,44387
Upper Primary School,Tripura,Total,5995,5672,7022,8880,8439,8319,8476,8687,9522,11083
Upper Primary School,Tripura,Male,NA,4355,5158,6565,6701,6603,6713,6843,7501,8450
Upper Primary School,Tripura,Female,NA,1317,1864,2315,1738,1716,1763,1844,2021,2633
Upper Primary School,Uttar Pradesh,Total,99694,148395,156674,157847,166344,170532,87940,96175,98072,142589
Upper Primary School,Uttar Pradesh,Male,NA,105583,111474,124097,130778,132944,63179,67083,67272,85593
Upper Primary School,Uttar Pradesh,Female,NA,42812,45200,33750,35566,37588,24761,29092,30800,56996
Upper Primary School,Uttarakhand,Total,14377,15284,16080,17439,18715,19999,19983,20654,19829,19870
Upper Primary School,Uttarakhand,Male,NA,10463,10528,11274,11880,12713,12704,12773,12458,11970
Upper Primary School,Uttarakhand,Female,NA,4821,5552,6165,6835,7286,7279,7881,7371,7900
Upper Primary School,West Bengal,Total,12124,11275,11388,15474,10895,8951,6360,8620,21679,12959
Upper Primary School,West Bengal,Male,NA,8319,8421,11303,8137,6579,4612,6226,15605,9071
Upper Primary School,West Bengal,Female,NA,2956,2967,4171,2758,2372,1748,2394,6074,3888
