"Name of the River","Length(Km)","No. of Monitoring locations","Year","Temp.(in degree Centigrade)","pH","Conductivity(μmhos/cm)","Dissolved Oxygen(D.O.)(mg/l)","Biochemical oxygen demand(B.O.D.)(mg/l)","Total Coliform(MPN/100 ml)","Faecal Coliform(MPN/100 ml)"
"Satluj","1078","23","2010","4-27","4.2-8.6","155-982","4.1-11.1","0.1-40","6 -1 x105","2-5 x104"
"Satluj","1078","23","2011","1.8-25","6.8-8.69","87-1022","3.8-12","0.1-32","4-90000","2 - 50000"
"Beas","460","19","2002","3-32","7.1-8.7","53-517","5.2-11.5","0.3 – 5.0","2-2400","2-1600"
"Beas","460","19","2003","4-29","7.3-8.9","76-559","7-12","0.1-6","2-2400","2-1600"
"Beas","460","19","2004","2-29","6.9-8.5","60-396","6.8-11.8","0.2-4.8","2-5x104","2-3500"
"Beas","460","19","2005","4-27","7-8.8","54-395","4.8-13","0.2-10","2-11x103","2-1100"
"Beas","460","19","2006","4-27","7.0-8.2","94-395","5.8-11.0","0.2-3.2","2-11x103","2-1100"
"Beas","460","19","2007","2-22","6.2-8.9","86-470","5.9-12.8","0.1-2.9","0-2400","0-2400"
"Beas","460","19","2008","1.5-22","7.0-8.4","53-432","3.8-12.5","0.1-7.6","2-1600","2-1600"
"Beas","460","23","2009","5- 26","7.1-8.5","46-338","6.4-11.8","0.1-4.3","7-2400","2-1600"
"Beas","460","23","2010","3-35","6.2-8.8","63-548","5.8-11.2","0.1-2.8","7-39000","2-7000"
