School Type,State/UT,Gender,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Upper Primary School,Dadra and Nagar Haveli,Total,521.0,612,213,278,288,303,1041,436.0,537.0,484.0
Upper Primary School,Dadra and Nagar Haveli,Male,,299,152,167,174,181,425,285.0,329.0,243.0
Upper Primary School,Dadra and Nagar Haveli,Female,,313,61,111,114,122,616,151.0,208.0,241.0
Upper Primary School,Daman and Diu,Total,244.0,156,281,281,259,259,231,436.0,436.0,288.0
Upper Primary School,Daman and Diu,Male,,85,133,133,122,122,76,226.0,226.0,97.0
Upper Primary School,Daman and Diu,Female,,71,148,148,137,137,155,210.0,210.0,191.0
Upper Primary School,Delhi,Total,22113.0,8295,9192,9210,7226,7848,8812,7873.0,7297.0,7482.0
Upper Primary School,Delhi,Male,,1911,2468,2473,1823,1611,1572,1580.0,1222.0,1269.0
Upper Primary School,Delhi,Female,,6384,6724,6737,5403,6237,7240,6293.0,6075.0,6213.0
Upper Primary School,Goa,Total,611.0,552,564,484,2148,2283,2365,2228.0,2515.0,2428.0
Upper Primary School,Goa,Male,,149,154,123,635,623,640,622.0,707.0,696.0
Upper Primary School,Goa,Female,,403,410,361,1513,1660,1725,1606.0,1808.0,1732.0
Upper Primary School,Gujarat,Total,171649.0,196388,199341,182306,186769,187769,195593,242916.0,244331.0,244331.0
Upper Primary School,Gujarat,Male,,91522,92899,92845,86606,88606,90263,119171.0,119905.0,119905.0
Upper Primary School,Gujarat,Female,,104866,106442,89461,100163,99163,105330,123745.0,124426.0,124426.0
Upper Primary School,Haryana,Total,8751.0,13449,8389,9896,11175,15109,18514,15610.0,20128.0,22835.0
Upper Primary School,Haryana,Male,,7639,5345,6136,6539,8290,9873,8360.0,11258.0,13285.0
Upper Primary School,Haryana,Female,,5810,3044,3760,4636,6819,8641,7250.0,8870.0,9550.0
Upper Primary School,Himachal Pradesh,Total,7836.0,9900,9199,13747,13417,11981,32854,26427.0,34389.0,28011.0
Upper Primary School,Himachal Pradesh,Male,,6822,6391,8752,8572,8208,20114,17280.0,20032.0,17381.0
Upper Primary School,Himachal Pradesh,Female,,3078,2808,4995,4845,3773,12740,9147.0,14357.0,10630.0
Upper Primary School,Jammu and Kashmir,Total,30989.0,36795,26624,28279,32773,32773,50232,43109.0,45151.0,45151.0
Upper Primary School,Jammu and Kashmir,Male,,21272,15563,16707,18773,18773,29136,24859.0,25007.0,25007.0
Upper Primary School,Jammu and Kashmir,Female,,15523,11061,11572,14000,14000,21096,18250.0,20144.0,20144.0
Upper Primary School,Jharkhand,Total,26498.0,26301,26536,28242,31619,35897,53800,53800.0,,
Upper Primary School,Jharkhand,Male,,18174,18853,19523,22077,25556,43695,43695.0,,
Upper Primary School,Jharkhand,Female,,8127,7683,8719,9542,10341,10105,10105.0,,
Upper Primary School,Karnataka,Total,186596.0,167451,189768,192418,184566,187382,188140,214354.0,223272.0,236583.0
Upper Primary School,Karnataka,Male,,79366,82696,83836,80415,84153,86318,93394.0,95163.0,99224.0
Upper Primary School,Karnataka,Female,,88085,107072,108582,104151,103229,101822,120960.0,128109.0,137359.0
Upper Primary School,Kerala,Total,48851.0,46544,45164,45396,46481,45423,45938,44726.0,44136.0,43278.0
Upper Primary School,Kerala,Male,,14876,14740,14435,14544,14022,13920,13540.0,13192.0,12930.0
Upper Primary School,Kerala,Female,,31668,30424,30961,31937,31401,32018,31186.0,30944.0,30348.0
Upper Primary School,Lakshadweep,Total,102.0,317,111,148,113,87,161,244.0,244.0,244.0
Upper Primary School,Lakshadweep,Male,,191,58,87,76,62,96,140.0,140.0,140.0
Upper Primary School,Lakshadweep,Female,,126,53,61,37,25,65,104.0,104.0,104.0
Upper Primary School,Madhya Pradesh,Total,96050.0,148333,132183,129437,129445,137275,142395,142395.0,86216.0,82202.0
Upper Primary School,Madhya Pradesh,Male,,94113,82851,111198,91575,108447,111475,111475.0,60392.0,57204.0
Upper Primary School,Madhya Pradesh,Female,,54220,49332,18239,37870,28828,30920,30920.0,25824.0,24998.0
Upper Primary School,Maharashtra,Total,242265.0,189583,186821,192482,203046,204212,204543,206673.0,205769.0,207455.0
Upper Primary School,Maharashtra,Male,,107457,106004,109218,113523,114175,114363,109746.0,108984.0,108160.0
Upper Primary School,Maharashtra,Female,,82126,80817,83264,89523,90037,90180,96927.0,96785.0,99295.0
Upper Primary School,Manipur,Total,7824.0,8834,8834,8753,8673,8597,8565,8584.0,8597.0,8234.0
Upper Primary School,Manipur,Male,,5224,5224,5181,5113,5056,5045,5057.0,5061.0,4731.0
Upper Primary School,Manipur,Female,,3610,3610,3572,3560,3541,3520,3527.0,3536.0,3503.0
Upper Primary School,Meghalaya,Total,4967.0,5540,6607,7407,7407,9407,9407,9407.0,9407.0,9407.0
Upper Primary School,Meghalaya,Male,,3301,3581,4317,3994,5072,5072,4316.0,4316.0,4316.0
Upper Primary School,Meghalaya,Female,,2239,3026,3090,3413,4335,4335,5091.0,5091.0,5091.0
Upper Primary School,Mizoram,Total,5747.0,6170,5606,6977,7983,7271,6846,7754.0,7564.0,7824.0
Upper Primary School,Mizoram,Male,,4194,3943,4777,5073,4841,4609,5067.0,5058.0,5217.0
Upper Primary School,Mizoram,Female,,1976,1663,2200,2910,2430,2237,2687.0,2506.0,2607.0
Upper Primary School,Nagaland,Total,5029.0,4563,5365,6296,6263,6263,5804,5804.0,5804.0,5804.0
Upper Primary School,Nagaland,Male,,3043,3775,3921,3902,3902,3703,3703.0,3703.0,3703.0
Upper Primary School,Nagaland,Female,,1520,1590,2375,2361,2361,2101,2101.0,2101.0,2101.0
Upper Primary School,Orissa,Total,41734.0,48677,49786,31393,34285,32061,41595,44387.0,54707.0,53994.0
Upper Primary School,Orissa,Male,,35845,35817,23419,25712,24129,29569,31033.0,36844.0,35684.0
