School Type,State/UT,Gender,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Secondary School,Orissa,Total,61194.0,61454.0,64999.0,77704.0,61939.0,84665,84178,84754,89270.0,90337.0
Secondary School,Orissa,Male,,47380.0,50570.0,60383.0,48485.0,65271,63265,63422,67671.0,68564.0
Secondary School,Orissa,Female,,14074.0,14429.0,17321.0,13454.0,19394,20913,21332,21599.0,21773.0
Secondary School,Puducherry,Total,5235.0,4815.0,5557.0,5825.0,6045.0,6467,6886,7173,7587.0,7930.0
Secondary School,Puducherry,Male,,2263.0,2632.0,2602.0,2629.0,2733,2634,2643,2706.0,2769.0
Secondary School,Puducherry,Female,,2552.0,2925.0,3223.0,3416.0,3734,4252,4530,4881.0,5161.0
Secondary School,Punjab,Total,67929.0,71021.0,68032.0,67004.0,66511.0,67054,63716,62870,65955.0,98578.0
Secondary School,Punjab,Male,,29284.0,30105.0,29256.0,28800.0,28908,27498,27099,23992.0,33795.0
Secondary School,Punjab,Female,,41737.0,37927.0,37748.0,37711.0,38146,36218,35771,41963.0,64783.0
Secondary School,Rajasthan,Total,96616.0,110680.0,114078.0,118597.0,126741.0,144740,150057,163740,178607.0,195917.0
Secondary School,Rajasthan,Male,,79511.0,82009.0,85596.0,92244.0,104961,109471,119735,130174.0,142151.0
Secondary School,Rajasthan,Female,,31169.0,32069.0,33001.0,34497.0,39779,40586,44005,48433.0,53766.0
Secondary School,Sikkim,Total,2600.0,3629.0,712.0,1397.0,1477.0,1799,2412,2173,2075.0,2075.0
Secondary School,Sikkim,Male,,1929.0,478.0,929.0,967.0,1152,1398,1273,1209.0,1209.0
Secondary School,Sikkim,Female,,1700.0,234.0,468.0,510.0,647,1014,900,866.0,866.0
Secondary School,Tamil Nadu,Total,156407.0,192088.0,208001.0,211427.0,226742.0,231989,89646,125344,120648.0,126386.0
Secondary School,Tamil Nadu,Male,,71272.0,82317.0,81940.0,89754.0,96075,40273,56016,53383.0,56191.0
Secondary School,Tamil Nadu,Female,,120816.0,125684.0,129487.0,136988.0,135914,49373,69328,67265.0,70195.0
Secondary School,Tripura,Total,18275.0,18698.0,17921.0,17470.0,17313.0,17472,17703,18498,18498.0,22312.0
Secondary School,Tripura,Male,,13029.0,12390.0,12201.0,11804.0,11915,12045,12470,12470.0,15029.0
Secondary School,Tripura,Female,,5669.0,5531.0,5269.0,5509.0,5557,5658,6028,6028.0,7283.0
Secondary School,Uttar Pradesh,Total,127297.0,177741.0,183249.0,184710.0,192053.0,198563,189240,199678,202692.0,227989.0
Secondary School,Uttar Pradesh,Male,,128895.0,132817.0,154858.0,161100.0,166377,155233,160836,163511.0,189422.0
Secondary School,Uttar Pradesh,Female,,48846.0,50432.0,29852.0,30953.0,32186,34007,38842,39181.0,38567.0
Secondary School,Uttarakhand,Total,19527.0,27850.0,29334.0,31134.0,34436.0,34989,35305,38417,41365.0,41926.0
Secondary School,Uttarakhand,Male,,20069.0,21166.0,22343.0,24473.0,24881,25052,29453,30569.0,30883.0
Secondary School,Uttarakhand,Female,,7781.0,8168.0,8791.0,9963.0,10108,10253,8964,10796.0,11043.0
Secondary School,West Bengal,Total,128219.0,128653.0,124385.0,120503.0,130418.0,138840,141895,141929,140654.0,161131.0
Secondary School,West Bengal,Male,,88877.0,88031.0,85722.0,92522.0,98172,98951,98480,87178.0,112293.0
Secondary School,West Bengal,Female,,39776.0,36354.0,34781.0,37896.0,40668,42944,43449,53476.0,48838.0
Lower Secondary School,Andaman and Nicobar Islands,Total,896.0,888.0,892.0,959.0,950.0,935,927,897,1029.0,992.0
Lower Secondary School,Andaman and Nicobar Islands,Male,,,,,,430,435,391,438.0,408.0
Lower Secondary School,Andaman and Nicobar Islands,Female,,,,,,505,492,506,591.0,584.0
Lower Secondary School,Andhra Pradesh,Total,145246.0,142149.0,140826.0,140399.0,142544.0,153988,156887,167159,187709.0,205179.0
Lower Secondary School,Andhra Pradesh,Male,,,,,,92008,93500,99013,112001.0,121835.0
Lower Secondary School,Andhra Pradesh,Female,,,,,,61980,63387,68146,75708.0,83344.0
Lower Secondary School,Arunachal Pradesh,Total,1718.0,1895.0,1641.0,1662.0,1858.0,2025,2349,2407,2734.0,2793.0
Lower Secondary School,Arunachal Pradesh,Male,,,,,,1482,1608,1651,1859.0,1874.0
Lower Secondary School,Arunachal Pradesh,Female,,,,,,543,741,756,875.0,919.0
Lower Secondary School,Assam,Total,47852.0,44850.0,54224.0,54344.0,55973.0,56976,57255,58013,61012.0,61551.0
Lower Secondary School,Assam,Male,,,,,,41908,42315,43650,45704.0,45750.0
Lower Secondary School,Assam,Female,,,,,,15068,14940,14363,15308.0,15801.0
Lower Secondary School,Bihar,Total,26790.0,25619.0,24924.0,23358.0,22601.0,22631,28488,27406,25593.0,24186.0
Lower Secondary School,Bihar,Male,,,,,,20009,24244,23172,21788.0,20395.0
Lower Secondary School,Bihar,Female,,,,,,2622,4244,4234,3805.0,3791.0
Lower Secondary School,Chandigarh,Total,2708.0,2239.0,2535.0,2268.0,2570.0,2714,2900,2172,1998.0,1685.0
Lower Secondary School,Chandigarh,Male,,,,,,474,512,400,383.0,302.0
Lower Secondary School,Chandigarh,Female,,,,,,2240,2388,1772,1615.0,1383.0
Lower Secondary School,Chhattisgarh,Total,6627.0,7902.0,7935.0,9443.0,8873.0,10440,10598,15702,12206.0,13517.0
Lower Secondary School,Chhattisgarh,Male,,,,,,6982,7088,8916,7751.0,8327.0
Lower Secondary School,Chhattisgarh,Female,,,,,,3458,3510,6786,4455.0,5190.0
Lower Secondary School,Dadra and Nagar Haveli,Total,59.0,145.0,158.0,225.0,241.0,280,371,333,360.0,329.0
Lower Secondary School,Dadra and Nagar Haveli,Male,,,,,,141,178,166,165.0,165.0
Lower Secondary School,Dadra and Nagar Haveli,Female,,,,,,139,193,167,195.0,164.0
Lower Secondary School,Daman and Diu,Total,264.0,315.0,262.0,262.0,256.0,256,274,261,261.0,217.0
Lower Secondary School,Daman and Diu,Male,,,,,,144,143,137,137.0,127.0
Lower Secondary School,Daman and Diu,Female,,,,,,112,131,124,124.0,90.0
Lower Secondary School,Delhi,Total,48506.0,9361.0,9717.0,9816.0,9445.0,12169,9773,10085,10613.0,10859.0
Lower Secondary School,Delhi,Male,,,,,,3738,3345,3308,3465.0,3576.0
Lower Secondary School,Delhi,Female,,,,,,8431,6428,6777,7148.0,7283.0
Lower Secondary School,Goa,Total,6540.0,5883.0,6240.0,6648.0,3733.0,3554,3162,3446,3218.0,3055.0
Lower Secondary School,Goa,Male,,,,,,1527,1438,1418,1288.0,1197.0
Lower Secondary School,Goa,Female,,,,,,2027,1724,2028,1930.0,1858.0
Lower Secondary School,Gujarat,Total,28484.0,26767.0,30557.0,31403.0,31304.0,31886,32410,36714,42829.0,40048.0
Lower Secondary School,Gujarat,Male,,,,,,24252,24794,26824,30899.0,27615.0
Lower Secondary School,Gujarat,Female,,,,,,7634,7616,9890,11930.0,12433.0
Lower Secondary School,Haryana,Total,30827.0,36668.0,28566.0,29363.0,30660.0,37309,37564,25888,36947.0,36947.0
Lower Secondary School,Haryana,Male,,,,,,20671,20595,14760,20746.0,20746.0
Lower Secondary School,Haryana,Female,,,,,,16638,16969,11128,16201.0,16201.0
Lower Secondary School,Himachal Pradesh,Total,11053.0,13242.0,11761.0,13735.0,12415.0,12767,5844,6301,8841.0,10022.0
Lower Secondary School,Himachal Pradesh,Male,,,,,,7337,3873,3976,4525.0,4784.0
Lower Secondary School,Himachal Pradesh,Female,,,,,,5430,1971,2325,4316.0,5238.0
Lower Secondary School,Jammu and Kashmir,Total,19656.0,25694.0,16066.0,15975.0,19358.0,19358,19358,22275,25370.0,25370.0
Lower Secondary School,Jammu and Kashmir,Male,,,,,,11725,11725,12923,14310.0,14310.0
Lower Secondary School,Jammu and Kashmir,Female,,,,,,7633,7633,9352,11060.0,11060.0
Lower Secondary School,Jharkhand,Total,9845.0,10750.0,9828.0,9472.0,10006.0,8909,9178,9178,,
Lower Secondary School,Jharkhand,Male,,,,,,6146,6478,6478,,
Lower Secondary School,Jharkhand,Female,,,,,,2763,2700,2700,,
Lower Secondary School,Karnataka,Total,79347.0,72048.0,76852.0,76929.0,89168.0,89168,92882,99106,109503.0,124135.0
Lower Secondary School,Karnataka,Male,,,,,,52218,52085,55981,59511.0,66622.0
Lower Secondary School,Karnataka,Female,,,,,,36950,40797,43125,49992.0,57513.0
Lower Secondary School,Kerala,Total,94100.0,40746.0,92731.0,95705.0,95280.0,101683,106187,101932,97141.0,47580.0
Lower Secondary School,Kerala,Male,,,,,,30219,29645,28920,27809.0,11446.0
Lower Secondary School,Kerala,Female,,,,,,71464,76542,73012,69332.0,36134.0
Lower Secondary School,Lakshadweep,Total,384.0,269.0,405.0,215.0,140.0,137,137,204,205.0,205.0
Lower Secondary School,Lakshadweep,Male,,,,,,88,88,123,124.0,124.0
Lower Secondary School,Lakshadweep,Female,,,,,,49,49,81,81.0,81.0
Lower Secondary School,Madhya Pradesh,Total,27372.0,36276.0,36181.0,34633.0,35028.0,36892,41052,42340,46948.0,54056.0
Lower Secondary School,Madhya Pradesh,Male,,,,,,23189,25116,25786,27938.0,31234.0
Lower Secondary School,Madhya Pradesh,Female,,,,,,13703,15936,16554,19010.0,22822.0
Lower Secondary School,Maharashtra,Total,95191.0,154345.0,155368.0,158118.0,160917.0,164357,166221,166656,166656.0,166656.0
Lower Secondary School,Maharashtra,Male,,,,,,112651,113930,114225,114225.0,114225.0
Lower Secondary School,Maharashtra,Female,,,,,,51706,52291,52431,52431.0,52431.0
Lower Secondary School,Manipur,Total,9534.0,9175.0,9175.0,9058.0,8933.0,8801,8725,8719,8750.0,8715.0
