Particulars,State/UT,Gender,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Secondary School,Sikkim,Boy,,8958.0,7543.0,8934.0,9277.0,9140,9129,9389,9960,9960
Secondary School,Sikkim,Girl,,8727.0,7489.0,9049.0,9496.0,9356,9450,10043,11045,11045
Secondary School,Tamil Nadu,Total,2484686.0,2665263.0,2775339.0,2952354.0,3008272.0,3152698,3318523,2967545,3044632,3058221
Secondary School,Tamil Nadu,Boy,,1365165.0,1427746.0,1521320.0,1523999.0,1580242,1654972,1479412,1484639,1494299
Secondary School,Tamil Nadu,Girl,,1300098.0,1347593.0,1431034.0,1484273.0,1572456,1663551,1488133,1559993,1563922
Secondary School,Tripura,Total,104142.0,112498.0,118006.0,118909.0,122768.0,127914,139781,140281,147580,158438
Secondary School,Tripura,Boy,,61708.0,64166.0,64764.0,66855.0,70588,74349,74825,77999,83555
Secondary School,Tripura,Girl,,50790.0,53840.0,54145.0,55913.0,57326,65432,65456,69581,74883
Secondary School,Uttar Pradesh,Total,3318222.0,5479098.0,5809618.0,5926059.0,6071716.0,6222169,9334365,9280198,9468888,9290761
Secondary School,Uttar Pradesh,Boy,,3480039.0,3689945.0,3757509.0,3851575.0,3945832,5462237,5398027,5435215,5404151
Secondary School,Uttar Pradesh,Girl,,1999059.0,2119673.0,2168550.0,2220141.0,2276337,3872128,3882171,4033673,3886610
Secondary School,Uttarakhand,Total,380446.0,453756.0,460049.0,470618.0,511770.0,513585,519812,547008,577389,597650
Secondary School,Uttarakhand,Boy,,259325.0,261045.0,266550.0,280732.0,281470,284111,286170,311581,317338
Secondary School,Uttarakhand,Girl,,194431.0,199004.0,204068.0,231038.0,232115,235701,260838,265808,280312
Secondary School,West Bengal,Total,1964505.0,2052950.0,2234772.0,2202932.0,2534834.0,2500416,2715083,2753164,2980966,3321213
Secondary School,West Bengal,Boy,,1188197.0,1312142.0,1280474.0,1477263.0,1443933,1520946,1543102,1535961,1712728
Secondary School,West Bengal,Girl,,864753.0,922630.0,922458.0,1057571.0,1056483,1194137,1210062,1445005,1608485
Lower Secondary School,Andaman and Nicobar Islands,Total,11208.0,11232.0,11382.0,12314.0,12483.0,13083,13175,12809,12699,13537
