Table Name,State Code,District Code,Tehsil Code,Area Name,Mother Tongue Code,Mother Tongue,Total - Persons,Total - Males,Total - Females,Rural - Persons,Rural - Males,Rural - Females,Urban - Persons,Urban - Males,Urban - Females
C0116,09,00,0000,State - UTTAR PRADESH  09,030048, 6 RATHI,2,1,1,2,1,1,0,0,0
C0116,09,00,0000,State - UTTAR PRADESH  09,030050, 7 TADAVI,1,1,0,0,0,0,1,1,0
C0116,09,00,0000,State - UTTAR PRADESH  09,030999,30 Others,17,8,9,0,0,0,17,8,9
C0116,09,00,0000,State - UTTAR PRADESH  09,031000,31 BHOTIA,9,4,5,0,0,0,9,4,5
C0116,09,00,0000,State - UTTAR PRADESH  09,031001, 1 BHOTIA,9,4,5,0,0,0,9,4,5
C0116,09,00,0000,State - UTTAR PRADESH  09,032000,32 BHUMIJ,16,9,7,2,2,0,14,7,7
C0116,09,00,0000,State - UTTAR PRADESH  09,032999,32 Others,16,9,7,2,2,0,14,7,7
C0116,09,00,0000,State - UTTAR PRADESH  09,033000,33 BISHNUPURIYA,12,8,4,2,2,0,10,6,4
C0116,09,00,0000,State - UTTAR PRADESH  09,033001, 1 BISHNUPRIYA MANIPURI/MANIPURI BISHNUPRIYA,4,3,1,2,2,0,2,1,1
C0116,09,00,0000,State - UTTAR PRADESH  09,033999,33 Others,8,5,3,0,0,0,8,5,3
C0116,09,00,0000,State - UTTAR PRADESH  09,037000,37 COORGI/KODAGU,10,6,4,1,1,0,9,5,4
C0116,09,00,0000,State - UTTAR PRADESH  09,037001, 1 COORGI/KODAGU,10,6,4,1,1,0,9,5,4
C0116,09,00,0000,State - UTTAR PRADESH  09,038000,38 DEORI,1,0,1,0,0,0,1,0,1
C0116,09,00,0000,State - UTTAR PRADESH  09,038001, 1 DEORI,1,0,1,0,0,0,1,0,1
C0116,09,00,0000,State - UTTAR PRADESH  09,039000,39 DIMASA,7,5,2,0,0,0,7,5,2
C0116,09,00,0000,State - UTTAR PRADESH  09,039999,39 Others,7,5,2,0,0,0,7,5,2
C0116,09,00,0000,State - UTTAR PRADESH  09,040000,40 ENGLISH,11163,5830,5333,3749,2021,1728,7414,3809,3605
C0116,09,00,0000,State - UTTAR PRADESH  09,040001, 1 ENGLISH,11163,5830,5333,3749,2021,1728,7414,3809,3605
C0116,09,00,0000,State - UTTAR PRADESH  09,041000,41 GADABA,17,8,9,16,7,9,1,1,0
C0116,09,00,0000,State - UTTAR PRADESH  09,041001, 1 GADABA,1,1,0,0,0,0,1,1,0
C0116,09,00,0000,State - UTTAR PRADESH  09,041999,41 Others,16,7,9,16,7,9,0,0,0
