State/UT,Primary/Junior Basic Schools(#) - Total - 2008-09,Primary/Junior Basic Schools(#) - Total - 2009-10,Primary/Junior Basic Schools(#) - Total - 2010-11,Primary/Junior Basic Schools(#) - Women - 2008-09,Primary/Junior Basic Schools(#) - Women - 2009-10,Primary/Junior Basic Schools(#) - Women - 2010-11,Primary/Junior Basic Schools(#) - % age of Trained Teachers - 2008-09,Primary/Junior Basic Schools(#) - % age of Trained Teachers - 2009-10,Primary/Junior Basic Schools(#) - % age of Trained Teachers - 2010-11,Middle/Senior Basic Schools - Total - 2008-09,Middle/Senior Basic Schools - Total - 2009-10,Middle/Senior Basic Schools - Total - 2010-11,Middle/Senior Basic Schools - Women - 2008-09,Middle/Senior Basic Schools - Women - 2009-10,Middle/Senior Basic Schools - Women - 2010-11,Middle/Senior Basic Schools - % age of Trained Teachers - 2008-09,Middle/Senior Basic Schools - % age of Trained Teachers - 2009-10,Middle/Senior Basic Schools - % age of Trained Teachers - 2010-11,High/Post Basic Schools - Total - 2008-09,High/Post Basic Schools - Total - 2009-10,High/Post Basic Schools - Total - 2010-11,High/Post Basic Schools - Women - 2008-09,High/Post Basic Schools - Women - 2009-10,High/Post Basic Schools - Women - 2010-11,High/Post Basic Schools - % age of Trained Teachers - 2008-09,High/Post Basic Schools - % age of Trained Teachers - 2009-10,High/Post Basic Schools - % age of Trained Teachers - 2010-11,Higher Secondary Schools (**) - Total - 2008-09,Higher Secondary Schools (**) - Total - 2009-10,Higher Secondary Schools (**) - Total - 2010-11,Higher Secondary Schools (**) - Women - 2008-09,Higher Secondary Schools (**) - Women - 2009-10,Higher Secondary Schools (**) - Women - 2010-11,Higher Secondary Schools (**) - % age of Trained Teachers - 2008-09,Higher Secondary Schools (**) - % age of Trained Teachers - 2009-10,Higher Secondary Schools (**) - % age of Trained Teachers - 2010-11,Total No. of Teachers in all Schools - Total - 2008-09,Total No. of Teachers in all Schools - Women - 2008-09,Total No. of Teachers in all Schools - Total - 2009-10,Total No. of Teachers in all Schools - Women - 2009-10,Total No. of Teachers in all Schools - Total - 2010-11,Total No. of Teachers in all Schools - Women - 2010-11
Punjab,51740.0,55858.0,49273.0,36760.0,38893.0,31649.0,100.0,100.0,100.0,50503.0,50031.0,22836.0,29231.0,29203.0,14120.0,100.0,100.0,100.0,38466.0,27180.0,37666.0,24153.0,17163.0,24682.0,100.0,100.0,100.0,16244.0,38775.0,60912.0,9223.0,24800.0,40101.0,100.0,100.0,100.0,156953.0,171844.0,99367.0,110059.0,170687.0,110552.0
Rajasthan,117576.0,113639.0,104884.0,36783.0,35656.0,32701.0,86.0,86.0,86.0,211138.0,219555.0,219854.0,67772.0,70676.0,68885.0,80.0,81.0,81.0,81049.0,86832.0,98169.0,20751.0,22528.0,25796.0,83.0,91.0,84.0,82691.0,91775.0,97748.0,23254.0,25905.0,27970.0,92.0,91.0,72.0,492454.0,511801.0,148560.0,154765.0,520655.0,155352.0
Sikkim,7845.0,7845.0,7845.0,4523.0,4523.0,4523.0,68.0,68.0,68.0,2229.0,2229.0,2229.0,1113.0,1113.0,1113.0,42.0,42.0,42.0,1512.0,1512.0,1512.0,657.0,657.0,657.0,55.0,55.0,55.0,661.0,563.0,563.0,243.0,209.0,209.0,58.0,58.0,58.0,12247.0,12149.0,6536.0,6502.0,12149.0,6502.0
Tamil Nadu,162792.0,124657.0,101026.0,120421.0,90004.0,77626.0,100.0,100.0,75.0,68507.0,67612.0,65206.0,41248.0,39065.0,44387.0,100.0,100.0,75.0,31079.0,30301.0,30992.0,17363.0,17248.0,17522.0,100.0,100.0,100.0,54265.0,90347.0,95394.0,31965.0,50017.0,52676.0,100.0,100.0,100.0,316643.0,312917.0,210997.0,196334.0,292618.0,192211.0
Tripura,7805.0,7936.0,8560.0,1640.0,1727.0,2211.0,74.0,94.0,82.0,8687.0,9522.0,11083.0,1844.0,2021.0,2633.0,47.0,47.0,74.0,8952.0,8952.0,10690.0,2417.0,2417.0,2886.0,63.0,86.0,64.0,9546.0,9546.0,11622.0,3611.0,3611.0,4397.0,63.0,90.0,75.0,34990.0,35956.0,9512.0,9776.0,41955.0,12127.0
Uttar Pradesh,331652.0,354976.0,344826.0,141314.0,166071.0,137930.0,98.0,98.0,98.0,87940.0,98072.0,142589.0,24761.0,30800.0,56996.0,95.0,95.0,95.0,65914.0,76917.0,56134.0,12455.0,16215.0,11618.0,97.0,97.0,97.0,123326.0,125775.0,171855.0,21552.0,22966.0,26949.0,97.0,97.0,97.0,608832.0,655740.0,200082.0,236052.0,715404.0,233493.0
Uttarakhand,48455.0,46345.0,45784.0,24900.0,24531.0,24498.0,100.0,100.0,100.0,20654.0,19829.0,19870.0,7881.0,7371.0,7900.0,100.0,100.0,100.0,17227.0,19122.0,19407.0,4164.0,5383.0,5520.0,100.0,100.0,100.0,21190.0,22243.0,22519.0,4800.0,5413.0,5523.0,100.0,100.0,53.0,107526.0,107539.0,41745.0,42698.0,107580.0,43441.0
West Bengal,150032.0,236720.0,153571.0,42866.0,107848.0,44536.0,83.0,48.0,90.0,8620.0,21679.0,12959.0,2394.0,6074.0,3888.0,80.0,35.0,90.0,63309.0,727.0,68074.0,18088.0,275.0,19060.0,80.0,69.0,91.0,78620.0,139927.0,93057.0,25361.0,53201.0,29778.0,86.0,66.0,91.0,300581.0,399053.0,88709.0,167398.0,327661.0,97262.0
Andaman and Nicobar Islands,976.0,1109.0,1178.0,604.0,703.0,675.0,95.0,95.0,96.0,802.0,856.0,906.0,475.0,507.0,549.0,99.0,99.0,99.0,897.0,1029.0,992.0,506.0,591.0,584.0,99.0,99.0,99.0,2051.0,2094.0,2188.0,1091.0,1146.0,1189.0,100.0,100.0,100.0,4726.0,5088.0,2676.0,2947.0,5264.0,2997.0
Chandigarh,368.0,385.0,222.0,332.0,345.0,196.0,96.0,96.0,96.0,377.0,353.0,211.0,287.0,250.0,156.0,96.0,96.0,96.0,2172.0,1998.0,1685.0,1772.0,1615.0,1383.0,99.0,99.0,99.0,3349.0,3933.0,2996.0,2717.0,3437.0,2464.0,98.0,98.0,98.0,6266.0,6669.0,5108.0,5647.0,5114.0,4199.0
Dadra and Nagar Haveli,872.0,998.0,1019.0,387.0,451.0,560.0,93.0,98.0,95.0,436.0,537.0,484.0,151.0,208.0,241.0,93.0,96.0,97.0,333.0,360.0,329.0,167.0,195.0,164.0,94.0,94.0,96.0,104.0,105.0,126.0,56.0,47.0,59.0,92.0,95.0,95.0,1745.0,2000.0,761.0,901.0,1958.0,1024.0
Daman and Diu,538.0,538.0,685.0,390.0,390.0,549.0,100.0,93.0,100.0,436.0,436.0,288.0,210.0,210.0,191.0,96.0,96.0,100.0,261.0,261.0,217.0,124.0,124.0,90.0,100.0,100.0,97.0,65.0,65.0,120.0,23.0,23.0,65.0,96.0,96.0,97.0,1300.0,1300.0,747.0,747.0,1310.0,895.0
Delhi,26446.0,28166.0,28876.0,18729.0,19791.0,20521.0,100.0,100.0,100.0,7873.0,7297.0,7482.0,6293.0,6075.0,6213.0,100.0,100.0,100.0,10085.0,10613.0,10859.0,6777.0,7148.0,7283.0,100.0,100.0,100.0,61113.0,64158.0,68255.0,43356.0,45471.0,48699.0,100.0,100.0,100.0,105517.0,110234.0,75155.0,78485.0,115472.0,82716.0
Lakshadweep,203.0,304.0,304.0,83.0,169.0,169.0,100.0,100.0,100.0,161.0,244.0,244.0,65.0,104.0,104.0,100.0,100.0,100.0,137.0,205.0,205.0,49.0,81.0,81.0,100.0,100.0,100.0,273.0,70.0,70.0,83.0,9.0,9.0,100.0,100.0,100.0,774.0,823.0,280.0,363.0,823.0,363.0
Puducherry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
